charger_count,charging_failure_rate,avg_distance_normal,avg_distance_ev,full_parking_time,installation_cost,total_sim_time,full_parking_rate,norm_charging_failure_rate,norm_avg_distance_normal,norm_avg_distance_ev,norm_full_parking_rate,norm_installation_cost,objective_function
18,17.2,12.0,10.5,240.7,14400000,43200.0,0.0055717592592592,0.2457142857142857,0.6666666666666666,0.0,0.6745602165087955,0.4333333333333333,2.020274502223081
20,14.8,11.9,10.5,174.2,16000000,43200.0,0.0040324074074074,0.2114285714285714,0.3333333333333333,0.0,0.2246278755074424,0.5,1.2693897802693472
22,3.8,12.0,10.5,223.9,17600000,43200.0,0.0051828703703703,0.0542857142857142,0.6666666666666666,0.0,0.560893098782138,0.5666666666666667,1.8485121464011856
24,3.0,12.0,10.9,215.5,19200000,43200.0,0.0049884259259259,0.0428571428571428,0.6666666666666666,0.2857142857142859,0.504059539918809,0.6333333333333333,2.1326309684902376
27,2.5,11.9,11.0,288.8,21600000,43200.0,0.0066851851851851,0.0357142857142857,0.3333333333333333,0.357142857142857,1.0,0.7333333333333333,2.4595238095238092
