charger_count,charging_failure_rate,avg_distance_normal,avg_distance_ev,full_parking_rate,installation_cost
18,14.7,11.9,10.8,0.004375,14400000
20,13.6,11.9,11.0,0.004916666666666666,16000000
22,7.0,12.0,10.5,0.004398148148148148,17600000
24,3.4,11.9,10.7,0.005131944444444444,19200000
27,1.8,12.0,10.7,0.005574074074074074,21600000
