no,type,distance
N123,normal,3
N460,normal,3
N34,normal,3
N19,normal,3
N76,normal,3
N752,normal,3
N730,normal,3
N294,normal,3
N667,normal,3
N661,normal,3
EV13,ev,7
N741,normal,3
N183,normal,3
N825,normal,3
N66,normal,3
N330,normal,3
N353,normal,3
N786,normal,3
N511,normal,1
N625,normal,3
N516,normal,3
N636,normal,3
N376,normal,3
N87,normal,3
N114,normal,3
N354,normal,3
N160,normal,3
N235,normal,3
N528,normal,3
N223,normal,3
N421,normal,4
N626,normal,3
N35,normal,3
N388,normal,3
N369,normal,1
N705,normal,3
N68,normal,3
N226,normal,3
N545,normal,3
N86,normal,3
N73,normal,3
N631,normal,3
N289,normal,3
N88,normal,4
N553,normal,3
N178,normal,3
N559,normal,3
N195,normal,3
N767,normal,3
N676,normal,3
N175,normal,3
N677,normal,4
N340,normal,4
N58,normal,3
N629,normal,1
N254,normal,3
N668,normal,1
N586,normal,3
N459,normal,1
N678,normal,3
N739,normal,3
N67,normal,3
EV30,ev,1
N717,normal,3
N144,normal,2
N27,normal,4
N197,normal,3
N128,normal,3
N65,normal,4
EV16,ev,11
N4,normal,4
N225,normal,4
N378,normal,3
EV3,ev,10
N641,normal,3
N173,normal,4
N243,normal,2
N199,normal,3
N500,normal,4
N287,normal,4
N148,normal,3
N455,normal,4
N507,normal,4
N647,normal,4
N288,normal,4
N109,normal,4
N159,normal,4
N361,normal,3
N146,normal,4
N600,normal,4
N759,normal,4
N240,normal,4
N816,normal,4
N419,normal,4
N327,normal,4
N293,normal,1
N505,normal,4
N726,normal,4
N233,normal,4
N394,normal,4
N644,normal,1
N234,normal,4
N139,normal,4
N162,normal,2
N399,normal,2
N266,normal,4
N201,normal,1
N562,normal,4
N24,normal,1
EV12,ev,8
N524,normal,2
N490,normal,3
N325,normal,4
N275,normal,4
N357,normal,3
N570,normal,4
N463,normal,3
N596,normal,1
N453,normal,4
N633,normal,4
N302,normal,4
N743,normal,4
N23,normal,4
N36,normal,1
N622,normal,1
N727,normal,4
N498,normal,3
N659,normal,4
N279,normal,4
N100,normal,4
N671,normal,2
N304,normal,4
N670,normal,4
N605,normal,1
N617,normal,1
N613,normal,4
N258,normal,4
N771,normal,4
N380,normal,4
N523,normal,3
N8,normal,1
N634,normal,3
N565,normal,4
N387,normal,3
N202,normal,4
N481,normal,4
N790,normal,4
N612,normal,1
N60,normal,4
N299,normal,2
N252,normal,4
N153,normal,2
N801,normal,4
N433,normal,3
N239,normal,3
N687,normal,1
N314,normal,1
N89,normal,3
N806,normal,3
N632,normal,3
EV2,ev,2
N422,normal,1
N6,normal,2
N298,normal,1
N206,normal,2
N370,normal,1
EV27,ev,2
N398,normal,2
N443,normal,4
N785,normal,2
N359,normal,4
N758,normal,1
N572,normal,1
N755,normal,4
N247,normal,1
N577,normal,4
